target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26162.1	894	736.387	665.232	41.765
DAnjou_Chr10v0.1_26161.1	386	230.226	17	3.41381
DAnjou_Chr10v0.1_26160.1	1173	1015.39	1049.76	47.7975
DAnjou_Chr10v0.1_26159.1	933	775.387	311.633	18.5811
DAnjou_Chr10v0.1_26158.1	630	472.387	223	21.8249
DAnjou_Chr10v0.1_26157.1	2442	2284.39	0	0
DAnjou_Chr10v0.1_26156.1	1947	1789.39	444	11.4716
DAnjou_Chr10v0.1_26155.1	2160	2002.39	94	2.17033
DAnjou_Chr10v0.1_26154.1	528	370.632	43.7587	5.45842
DAnjou_Chr10v0.1_26153.1	414	257.554	0	0
DAnjou_Chr10v0.1_26152.1	2319	2161.39	93	1.98928
DAnjou_Chr10v0.1_26151.1	2682	2524.39	353.289	6.47023
DAnjou_Chr10v0.1_26150.1	2937	2779.39	581	9.66435
DAnjou_Chr10v0.1_26149.1	2238	2080.39	41	0.91114
DAnjou_Chr10v0.1_26148.1	831	673.387	312.261	21.4387
DAnjou_Chr10v0.1_26147.1	477	319.74	0	0
DAnjou_Chr10v0.1_26146.1	453	295.98	125	19.5251
DAnjou_Chr10v0.1_26145.1	461	303.897	0	0
DAnjou_Chr10v0.1_26144.1	978	820.387	137.113	7.72692
DAnjou_Chr10v0.1_26143.1	1836	1678.39	351	9.66853
DAnjou_Chr10v0.1_26142.1	852	694.387	67	4.46086
DAnjou_Chr10v0.1_26141.1	1422	1264.39	0	0
DAnjou_Chr10v0.1_26140.1	669	511.387	87	7.8653
DAnjou_Chr10v0.1_26139.1	711	553.387	1350.62	112.837
DAnjou_Chr10v0.1_26138.1	1227	1069.39	1325.41	57.3009
DAnjou_Chr10v0.1_26137.1	1071	913.387	6	0.303698
DAnjou_Chr10v0.1_26136.1	1239	1081.39	41	1.75286
DAnjou_Chr10v0.1_26135.1	1863	1705.39	13	0.352424
DAnjou_Chr10v0.1_26134.1	3516	3358.39	206	2.83584
DAnjou_Chr10v0.1_26133.1	1398	1240.39	427.189	15.9224
DAnjou_Chr10v0.1_26132.1	1527	1369.39	0	0
DAnjou_Chr10v0.1_26131.1	402	245.832	7.75067	1.45762
DAnjou_Chr10v0.1_26130.1	933	775.387	1438.84	85.7903
DAnjou_Chr10v0.1_26129.1	1134	976.387	133.249	6.30941
DAnjou_Chr10v0.1_26128.1	1776	1618.39	111.434	3.18332
DAnjou_Chr10v0.1_26127.1	2052	1894.39	1683.08	41.0753
DAnjou_Chr10v0.1_26126.1	3628	3470.39	375.712	5.00521
DAnjou_Chr10v0.1_26125.1	1125	967.387	1125.93	53.8091
DAnjou_Chr10v0.1_26124.1	4242	4084.39	574	6.49726
DAnjou_Chr10v0.1_26123.1	4142	3984.39	1599.02	18.554
DAnjou_Chr10v0.1_26109.1	1538	1380.39	0	0
DAnjou_Chr10v0.1_26122.1	525	367.632	0	0
DAnjou_Chr10v0.1_26121.1	311	158.46	0	0
DAnjou_Chr10v0.1_26108.1	1641	1483.39	790	24.6217
DAnjou_Chr10v0.1_26119.1	743	585.387	3	0.236932
DAnjou_Chr10v0.1_26118.1	705	547.387	0	0
DAnjou_Chr10v0.1_26117.1	624	466.387	10	0.991287
DAnjou_Chr10v0.1_26116.1	1329	1171.39	8	0.315744
DAnjou_Chr10v0.1_26115.1	411	254.601	9	1.63428
DAnjou_Chr10v0.1_26103.1	1329	1171.39	266	10.4985
DAnjou_Chr10v0.1_26101.1	630	472.387	102	9.9827
DAnjou_Chr10v0.1_26100.1	1650	1492.39	697.033	21.5932
DAnjou_Chr10v0.1_26099.1	1398	1240.39	100	3.72725
DAnjou_Chr10v0.1_26098.1	414	257.554	100	17.9505
DAnjou_Chr10v0.1_26097.1	1366	1208.39	517	19.7802
DAnjou_Chr10v0.1_26095.1	4713	4555.39	43	0.436404
DAnjou_Chr10v0.1_26094.1	333	179.222	2.03935	0.526071
DAnjou_Chr10v0.1_26093.1	732	574.387	744.746	59.9445
DAnjou_Chr10v0.1_26092.1	876	718.387	287	18.4701
DAnjou_Chr10v0.1_26091.1	2898	2740.39	508	8.57032
DAnjou_Chr10v0.1_26090.1	1227	1069.39	0	0
DAnjou_Chr10v0.1_26089.1	375	219.612	4	0.842072
DAnjou_Chr10v0.1_26088.1	3927	3769.39	328	4.02299
DAnjou_Chr10v0.1_26087.1	2850	2692.39	612.887	10.5242
DAnjou_Chr10v0.1_26112.1	444	287.167	0	0
DAnjou_Chr10v0.1_26111.1	948	790.387	106	6.20028
DAnjou_Chr10v0.1_26113.1	1279	1121.39	1.11286	0.0458806
DAnjou_Chr10v0.1_26086.1	924	766.387	309	18.6404
DAnjou_Chr10v0.1_26085.1	1752	1594.39	32	0.927901
DAnjou_Chr10v0.1_26084.1	1323	1165.39	45	1.7852
DAnjou_Chr10v0.1_26083.1	7235	7077.39	36	0.235166
DAnjou_Chr10v0.1_26082.1	533	375.597	0	0
DAnjou_Chr10v0.1_26081.1	2904	2746.39	350	5.89185
DAnjou_Chr10v0.1_26080.1	2223	2065.39	129.365	2.89576
DAnjou_Chr10v0.1_26079.1	576	418.47	0	0
DAnjou_Chr10v0.1_26078.1	2400	2242.39	163	3.36064
DAnjou_Chr10v0.1_26077.1	540	382.58	60	7.25061
DAnjou_Chr10v0.1_26076.1	378	222.54	85	17.6586
DAnjou_Chr10v0.1_26075.1	903	745.387	377.814	23.4338
DAnjou_Chr10v0.1_26074.1	369	213.753	6.01917	1.30188
DAnjou_Chr10v0.1_26073.1	324	170.805	10	2.70674
DAnjou_Chr10v0.1_26072.1	2016	1858.39	215	5.34869
DAnjou_Chr10v0.1_26071.1	933	775.387	152.285	9.07999
DAnjou_Chr10v0.1_26070.1	1176	1018.39	215	9.76048
DAnjou_Chr10v0.1_26069.1	624	466.387	129	12.7876
DAnjou_Chr10v0.1_26068.1	624	466.387	31	3.07299
DAnjou_Chr10v0.1_26067.1	582	424.45	39	4.24799
DAnjou_Chr10v0.1_26066.1	312	159.407	7	2.03018
DAnjou_Chr10v0.1_26065.1	1032	874.387	0	0
DAnjou_Chr10v0.1_26064.1	1362	1204.39	1	0.0383866
DAnjou_Chr10v0.1_26063.1	1272	1114.39	23	0.954195
DAnjou_Chr10v0.1_26062.1	1575	1417.39	240.06	7.83027
DAnjou_Chr12v0.1_31320.1	2649	2491.39	529.474	9.82537
DAnjou_Chr12v0.1_31319.1	816	658.387	61.2745	4.30273
DAnjou_Chr12v0.1_31318.1	597	439.45	1.02723	0.108069
DAnjou_Chr12v0.1_31317.1	483	325.711	0	0
DAnjou_Chr12v0.1_31314.1	3320	3162.39	138.913	2.03083
DAnjou_Chr10v0.1_26053.1	1249	1091.39	151	6.39652
DAnjou_Chr10v0.1_26054.1	506	348.648	17	2.25427
DAnjou_Chr10v0.1_26057.1	1153	995.387	685	31.8159
DAnjou_Chr10v0.1_26056.1	1488	1330.39	440.353	15.3027
DAnjou_Chr10v0.1_26055.1	312	159.407	37.3404	10.8297
DAnjou_Chr12v0.1_31316.1	402	245.832	9	1.69258
DAnjou_Chr12v0.1_31315.1	804	646.387	12	0.85829
DAnjou_Chr12v0.1_31337.1	3549	3391.39	76.0363	1.03655
DAnjou_Chr12v0.1_31313.1	768	610.387	0	0
DAnjou_Chr10v0.1_26061.1	2238	2080.39	238.257	5.29477
DAnjou_Chr10v0.1_26060.1	1929	1771.39	19	0.49589
DAnjou_Chr10v0.1_26059.1	1326	1168.39	44	1.74105
DAnjou_Chr10v0.1_26058.1	789	631.387	0	0
DAnjou_Chr10v0.1_26052.1	1320	1162.39	45	1.78981
DAnjou_Chr10v0.1_26051.1	393	237.021	0	0
DAnjou_Chr10v0.1_26050.1	492	334.695	15	2.07199
DAnjou_Chr10v0.1_26049.1	1137	979.387	140	6.60875
DAnjou_Chr10v0.1_26047.1	1372	1214.39	3	0.114211
DAnjou_Chr10v0.1_26046.1	867	709.387	28.4727	1.85563
DAnjou_Chr10v0.1_26045.1	1575	1417.39	399	13.0146
DAnjou_Chr10v0.1_26044.1	1278	1120.39	66.1518	2.72973
DAnjou_Chr10v0.1_26043.1	965	807.387	7.84815	0.449398
DAnjou_Chr10v0.1_26042.1	1152	994.387	44.5273	2.07022
DAnjou_Chr10v0.1_26041.1	1374	1216.39	112	4.25688
DAnjou_Chr7v0.1_16724.1	1267	1109.39	10	0.416737
DAnjou_Chr10v0.1_26040.1	735	577.387	481	38.5144
DAnjou_Chr10v0.1_26039.1	393	237.021	165.323	32.2471
DAnjou_Chr10v0.1_26038.1	2436	2278.39	36	0.7305
DAnjou_Chr10v0.1_26037.1	699	541.387	1215	103.756
DAnjou_Chr10v0.1_26036.1	1869	1711.39	29	0.783421
DAnjou_Chr10v0.1_26035.1	399	242.889	450.832	85.8129
DAnjou_Chr10v0.1_26034.1	903	745.387	183	11.3505
DAnjou_Chr10v0.1_26033.1	1020	862.387	593	31.7905
DAnjou_Chr10v0.1_26032.1	849	691.387	1	0.0668689
DAnjou_Chr10v0.1_26031.1	1713	1555.39	45	1.33758
DAnjou_Chr10v0.1_26029.1	1857	1699.39	1219.98	33.1899
DAnjou_Chr10v0.1_26028.1	3813	3655.39	816.34	10.3248
DAnjou_Chr10v0.1_26027.1	1521	1363.39	7	0.237369
DAnjou_Chr10v0.1_26025.1	351	196.495	8	1.88228
DAnjou_Chr10v0.1_26026.1	1704	1546.39	788	23.5588
DAnjou_Chr10v0.1_26024.1	690	532.387	0	0
DAnjou_Chr10v0.1_26014.1	423	266.421	4	0.694123
DAnjou_Chr10v0.1_26022.1	401	244.855	0	0
DAnjou_Chr10v0.1_26013.1	486	328.711	30	4.21942
DAnjou_Chr10v0.1_26020.1	1449	1291.39	118.588	4.2455
DAnjou_Chr10v0.1_26011.1	648	490.387	1194.21	112.587
DAnjou_Chr10v0.1_26018.1	1149	991.387	33	1.53892
DAnjou_Chr10v0.1_26009.1	582	424.45	125	13.6153
DAnjou_Chr10v0.1_26016.1	1710	1552.39	132	3.93115
DAnjou_Chr10v0.1_26015.1	1158	1000.39	0	0
DAnjou_Chr10v0.1_26007.1	241	95.2339	0	0
DAnjou_Chr10v0.1_26006.1	1701	1543.39	9.66288	0.289452
DAnjou_Chr10v0.1_26005.1	1707	1549.39	0	0
DAnjou_Chr10v0.1_26004.1	5427	5269.39	126.369	1.10873
DAnjou_Chr10v0.1_26003.1	1881	1723.39	160.164	4.29664
DAnjou_Chr10v0.1_25998.1	2888	2730.39	50.1211	0.848676
DAnjou_Chr10v0.1_25997.1	1797	1639.39	17	0.479416
DAnjou_Chr10v0.1_25996.1	1674	1516.39	17	0.518304
DAnjou_Chr10v0.1_25988.1	570	412.47	1	0.112087
DAnjou_Chr10v0.1_25986.1	3459	3301.39	36	0.50414
DAnjou_Chr10v0.1_25985.1	681	523.387	36	3.17999
DAnjou_Chr10v0.1_25984.1	369	213.753	0	0
DAnjou_Chr10v0.1_25983.1	339	185.01	25	6.24726
DAnjou_Chr10v0.1_25982.1	840	682.387	359	24.3226
DAnjou_Chr10v0.1_25981.1	912	754.387	682.437	41.8229
DAnjou_Chr10v0.1_25980.1	810	652.387	273.23	19.3628
DAnjou_Chr10v0.1_25979.1	630	472.387	1	0.0978696
DAnjou_Chr10v0.1_25978.1	1179	1021.39	3	0.135793
DAnjou_Chr10v0.1_25977.1	2972	2814.39	20	0.328543
DAnjou_Chr10v0.1_25976.1	2133	1975.39	11	0.257446
DAnjou_Chr10v0.1_25975.1	2082	1924.39	61	1.46549
DAnjou_Chr10v0.1_25974.1	1002	844.387	38	2.0806
DAnjou_Chr10v0.1_25973.1	1119	961.387	303	14.571
DAnjou_Chr10v0.1_25972.1	2013	1855.39	400.018	9.9676
DAnjou_Chr10v0.1_25971.1	3087	2929.39	279	4.40324
DAnjou_Chr10v0.1_25970.1	2043	1885.39	578	14.1734
DAnjou_Chr10v0.1_25969.1	1083	925.387	18	0.899279
DAnjou_Chr8v0.1_19750.1	1236	1078.39	223.567	9.58468
DAnjou_Chr10v0.1_25967.1	513	355.648	27	3.50985
DAnjou_Chr10v0.1_25966.1	951	793.387	717.785	41.8268
DAnjou_Chr8v0.1_19753.1	1560	1402.39	1526	50.3074
DAnjou_Chr10v0.1_25964.1	651	493.387	0	0
DAnjou_Chr8v0.1_19755.1	774	616.387	461	34.5775
DAnjou_Chr10v0.1_25963.1	330	176.438	303	79.3955
DAnjou_Chr10v0.1_25962.1	2880	2722.39	661	11.2253
DAnjou_Chr8v0.1_19758.1	819	661.387	64	4.47373
DAnjou_Chr8v0.1_19759.1	477	319.74	0	0
DAnjou_Chr8v0.1_19760.1	621	463.387	65	6.48508
DAnjou_Chr8v0.1_19761.1	1572	1414.39	0	0
DAnjou_Chr8v0.1_19762.1	384	228.301	55	11.1378
DAnjou_Chr8v0.1_19763.1	1017	859.387	131	7.04739
DAnjou_Chr8v0.1_19764.1	2331	2173.39	143	3.0419
DAnjou_Chr8v0.1_19765.1	1920	1762.39	291	7.63374
DAnjou_Chr10v0.1_25954.1	660	502.387	300.312	27.6363
DAnjou_Chr8v0.1_19767.1	1344	1186.39	83.1724	3.24115
DAnjou_Chr8v0.1_19768.1	2766	2608.39	1325.79	23.499
DAnjou_Chr8v0.1_19769.1	912	754.387	799	48.9664
DAnjou_Chr8v0.1_19770.1	630	472.387	941	92.0953
DAnjou_Chr8v0.1_19771.1	2763	2605.39	342	6.06875
DAnjou_Chr8v0.1_19772.1	1017	859.387	1	0.0537968
DAnjou_Chr10v0.1_25948.1	1674	1516.39	40.271	1.2278
DAnjou_Chr10v0.1_25947.1	885	727.387	425	27.0128
DAnjou_Chr8v0.1_19774.1	2631	2473.39	417	7.79452
DAnjou_Chr10v0.1_25945.1	1362	1204.39	197.251	7.5718
DAnjou_Chr8v0.1_19776.1	1653	1495.39	178	5.50316
DAnjou_Chr10v0.1_25943.1	324	170.805	33	8.93223
DAnjou_Chr10v0.1_25942.1	1326	1168.39	93.4733	3.69868
DAnjou_Chr10v0.1_25941.1	927	769.387	1615.59	97.0804
DAnjou_Chr10v0.1_25940.1	1230	1072.39	447.492	19.2921
DAnjou_Chr10v0.1_25939.1	4098	3940.39	344	4.03613
DAnjou_Chr10v0.1_25938.1	957	799.387	18	1.04102
DAnjou_Chr10v0.1_25937.1	477	319.74	77.2832	11.1746
DAnjou_Chr10v0.1_25936.1	771	613.387	305	22.9885
DAnjou_Chr10v0.1_25935.1	4170	4012.39	604.508	6.96537
DAnjou_Chr10v0.1_25934.1	480	322.726	101	14.4688
DAnjou_Chr10v0.1_25933.1	1533	1375.39	930.776	31.2871
DAnjou_Chr10v0.1_25932.1	1278	1120.39	684	28.225
DAnjou_Chr10v0.1_25931.1	486	328.711	0	0
DAnjou_Chr10v0.1_25916.1	4917	4759.39	284	2.75875
DAnjou_Chr10v0.1_25915.1	1893	1735.39	2992.64	79.7267
DAnjou_Chr10v0.1_25928.1	338	184.053	57.5901	14.4661
DAnjou_Chr10v0.1_25927.1	1815	1657.39	4385.43	122.33
DAnjou_Chr10v0.1_25912.1	531	373.597	1	0.123749
DAnjou_Chr10v0.1_25925.1	389	233.162	0	0
DAnjou_Chr10v0.1_25924.1	1833	1675.39	0	0
DAnjou_Chr10v0.1_25919.1	693	535.387	1960	169.252
DAnjou_Chr10v0.1_25918.1	444	287.167	0	0
DAnjou_Chr10v0.1_25917.1	1866	1708.39	664.411	17.9803
DAnjou_Chr10v0.1_25921.1	1620	1462.39	91.2413	2.88453
DAnjou_Chr10v0.1_25907.1	2745	2587.39	39.1263	0.699121
DAnjou_Chr10v0.1_25904.1	435	278.283	0	0
DAnjou_Chr10v0.1_25903.1	515	357.648	0	0
DAnjou_Chr10v0.1_25902.1	2204	2046.39	246.874	5.57741
DAnjou_Chr10v0.1_25906.1	338	184.053	0	0
DAnjou_Chr10v0.1_25901.1	936	778.387	23.855	1.41687
DAnjou_Chr10v0.1_25900.1	2730	2572.39	644.437	11.5822
DAnjou_Chr10v0.1_25899.1	3930	3772.39	1242.52	15.2277
DAnjou_Chr10v0.1_25898.1	1131	973.387	98	4.65464
DAnjou_Chr5v0.1_13180.1	5241	5083.39	1034.1	9.40489
DAnjou_Chr10v0.1_25896.1	618	460.45	1846	185.351
DAnjou_Chr10v0.1_25895.1	1264	1106.39	240.417	10.0462
DAnjou_Chr10v0.1_25894.1	3024	2866.39	1058.17	17.0674
DAnjou_Chr10v0.1_25893.1	3341	3183.39	2703.75	39.2665
DAnjou_Chr10v0.1_25892.1	1185	1027.39	96	4.31999
DAnjou_Chr10v0.1_25891.1	447	290.088	22	3.50622
DAnjou_Chr10v0.1_25890.1	2166	2008.39	325	7.48137
DAnjou_Chr10v0.1_25897.1	562	404.507	180	20.5727
DAnjou_Chr10v0.1_25888.1	567	409.507	61	6.88674
DAnjou_Chr10v0.1_25887.1	858	700.387	42.1812	2.78437
DAnjou_Chr10v0.1_25886.1	2787	2629.39	386	6.78701
DAnjou_Chr10v0.1_25885.1	870	712.387	1	0.0648977
DAnjou_Chr10v0.1_25884.1	1032	874.387	0	0
DAnjou_Chr10v0.1_25883.1	3150	2992.39	1083.66	16.7425
DAnjou_Chr10v0.1_25882.1	1509	1351.39	66	2.25793
DAnjou_Chr10v0.1_25881.1	729	571.387	467	37.7861
DAnjou_Chr10v0.1_25880.1	336	182.087	5	1.26951
DAnjou_Chr10v0.1_25879.1	315	162.241	111.857	31.8746
DAnjou_Chr10v0.1_25878.1	3582	3424.39	2295.8	30.9954
DAnjou_Chr10v0.1_25877.1	495	337.695	0	0
DAnjou_Chr10v0.1_25876.1	6375	6217.39	1504	11.1837
DAnjou_Chr10v0.1_25875.1	624	466.387	32	3.17212
DAnjou_Chr10v0.1_25874.1	999	841.387	93	5.11014
DAnjou_Chr10v0.1_25873.1	2871	2713.39	27	0.460042
DAnjou_Chr10v0.1_25872.1	489	331.711	0	0
DAnjou_Chr10v0.1_25871.1	831	673.387	153.425	10.5336
DAnjou_Chr10v0.1_25870.1	2214	2056.39	585.462	13.1625
DAnjou_Chr10v0.1_25869.1	2467	2309.39	2619	52.4305
DAnjou_Chr10v0.1_25868.1	615	457.45	521	52.6549
DAnjou_Chr10v0.1_25867.1	1845	1687.39	618	16.9324
DAnjou_Chr10v0.1_25866.1	2214	2056.39	248	5.57561
DAnjou_Chr10v0.1_25865.1	479	321.726	135	19.3996
DAnjou_Chr10v0.1_25864.1	336	182.087	148	37.5775
DAnjou_Chr10v0.1_25863.1	429	272.347	0	0
DAnjou_Chr10v0.1_25862.1	1488	1330.39	511.958	17.791
DAnjou_Chr10v0.1_25861.1	604	446.45	8	0.828442
DAnjou_Chr10v0.1_25860.1	1701	1543.39	322.172	9.65069
