target_id	length	eff_length	est_counts	tpm
DAnjou_Chr10v0.1_26161.1	386	229.765	4	0.624932
DAnjou_Chr10v0.1_26160.1	1173	1014.11	942.65	33.3675
DAnjou_Chr10v0.1_26159.1	933	774.107	699.277	32.4269
DAnjou_Chr10v0.1_26158.1	630	471.176	1110.82	84.6287
DAnjou_Chr10v0.1_26157.1	2442	2283.11	1	0.0157228
DAnjou_Chr10v0.1_26156.1	1947	1788.11	713	14.3137
DAnjou_Chr10v0.1_26155.1	2160	2001.11	814.526	14.6114
DAnjou_Chr10v0.1_26154.1	528	369.368	35.3771	3.43812
DAnjou_Chr10v0.1_26153.1	414	257.138	0	0
DAnjou_Chr10v0.1_26152.1	2319	2160.11	489	8.12626
DAnjou_Chr10v0.1_26151.1	2682	2523.11	193	2.74586
DAnjou_Chr10v0.1_26150.1	2937	2778.11	746	9.63933
DAnjou_Chr10v0.1_26149.1	2238	2079.11	60	1.03593
DAnjou_Chr10v0.1_26148.1	831	672.107	524.822	28.0305
DAnjou_Chr10v0.1_26147.1	477	318.791	0	0
DAnjou_Chr10v0.1_26146.1	453	295.147	36	4.37846
DAnjou_Chr10v0.1_26145.1	461	303.031	0	0
DAnjou_Chr10v0.1_26144.1	978	819.107	460.438	20.1785
DAnjou_Chr10v0.1_26143.1	1836	1677.11	231	4.94434
DAnjou_Chr10v0.1_26142.1	852	693.107	170	8.80452
DAnjou_Chr10v0.1_26141.1	1422	1263.11	0	0
DAnjou_Chr10v0.1_26140.1	669	510.107	218.796	15.3969
DAnjou_Chr10v0.1_26139.1	711	552.107	1101.43	71.6126
DAnjou_Chr10v0.1_26138.1	1227	1068.11	3473.02	116.721
DAnjou_Chr10v0.1_26137.1	1071	912.107	1617	63.6387
DAnjou_Chr10v0.1_26136.1	1239	1080.11	1566.87	52.0743
DAnjou_Chr10v0.1_26135.1	1863	1704.11	29	0.610883
DAnjou_Chr10v0.1_26134.1	3516	3357.11	1300.14	13.9022
DAnjou_Chr10v0.1_26133.1	1398	1239.11	415	12.0225
DAnjou_Chr10v0.1_26132.1	1527	1368.11	2	0.0524768
DAnjou_Chr10v0.1_26131.1	402	245.383	7.33322	1.07277
DAnjou_Chr10v0.1_26130.1	933	774.107	3024.86	140.269
DAnjou_Chr10v0.1_26129.1	1134	975.107	320.667	11.8048
DAnjou_Chr10v0.1_26128.1	1776	1617.11	365.694	8.11775
DAnjou_Chr10v0.1_26127.1	2052	1893.11	791.251	15.0036
DAnjou_Chr10v0.1_26126.1	3628	3469.11	100.138	1.03618
DAnjou_Chr10v0.1_26125.1	1125	966.107	928.244	34.4901
DAnjou_Chr10v0.1_26124.1	4242	4083.11	849	7.46404
DAnjou_Chr10v0.1_26123.1	4142	3983.11	15743.3	141.883
DAnjou_Chr10v0.1_26109.1	1538	1379.11	3	0.0780873
DAnjou_Chr10v0.1_26122.1	525	366.492	0	0
DAnjou_Chr10v0.1_26121.1	311	158.868	0	0
DAnjou_Chr10v0.1_26108.1	1641	1482.11	1176.87	28.5039
DAnjou_Chr10v0.1_26119.1	743	584.107	12	0.737472
DAnjou_Chr10v0.1_26118.1	705	546.107	0	0
DAnjou_Chr10v0.1_26117.1	624	465.176	15	1.15753
DAnjou_Chr10v0.1_26116.1	1329	1170.11	22	0.674923
DAnjou_Chr10v0.1_26115.1	411	254.225	0	0
DAnjou_Chr10v0.1_26103.1	1329	1170.11	271	8.31382
DAnjou_Chr10v0.1_26101.1	630	471.176	162	12.3421
DAnjou_Chr10v0.1_26100.1	1650	1491.11	429.381	10.3369
DAnjou_Chr10v0.1_26099.1	1398	1239.11	418	12.1095
DAnjou_Chr10v0.1_26098.1	414	257.138	237	33.0856
DAnjou_Chr10v0.1_26097.1	1366	1207.11	800	23.7904
DAnjou_Chr10v0.1_26095.1	4713	4554.11	911	7.18079
DAnjou_Chr10v0.1_26094.1	333	179.361	0	0
DAnjou_Chr10v0.1_26093.1	732	573.107	1053.42	65.9818
DAnjou_Chr10v0.1_26092.1	876	717.107	559.816	28.0232
DAnjou_Chr10v0.1_26091.1	2898	2739.11	507.456	6.65038
DAnjou_Chr10v0.1_26090.1	1227	1068.11	0	0
DAnjou_Chr10v0.1_26089.1	375	219.224	16	2.61993
DAnjou_Chr10v0.1_26088.1	3927	3768.11	906.078	8.63176
DAnjou_Chr10v0.1_26087.1	2850	2691.11	1509	20.1287
DAnjou_Chr10v0.1_26112.1	444	286.315	0	0
DAnjou_Chr10v0.1_26111.1	948	789.107	223	10.1444
DAnjou_Chr10v0.1_26113.1	1279	1120.11	0	0
DAnjou_Chr10v0.1_26086.1	924	765.107	533	25.007
DAnjou_Chr10v0.1_26085.1	1752	1593.11	224.89	5.06737
DAnjou_Chr10v0.1_26084.1	1323	1164.11	1948	60.0694
DAnjou_Chr10v0.1_26083.1	7235	7076.11	177	0.897917
DAnjou_Chr10v0.1_26082.1	533	374.314	0	0
DAnjou_Chr10v0.1_26081.1	2904	2745.11	472	6.1722
DAnjou_Chr10v0.1_26080.1	2223	2064.11	836.66	14.5504
DAnjou_Chr10v0.1_26079.1	576	417.218	0	0
DAnjou_Chr10v0.1_26078.1	2400	2241.11	3	0.0480525
DAnjou_Chr10v0.1_26077.1	540	381.314	24	2.25936
DAnjou_Chr10v0.1_26076.1	378	222.052	96	15.5194
DAnjou_Chr10v0.1_26075.1	903	744.107	559.514	26.9918
DAnjou_Chr10v0.1_26074.1	369	213.488	30	5.04436
DAnjou_Chr10v0.1_26073.1	324	170.87	0	0
DAnjou_Chr10v0.1_26072.1	2016	1857.11	749	14.4778
DAnjou_Chr10v0.1_26071.1	933	774.107	255.981	11.8704
DAnjou_Chr10v0.1_26070.1	1176	1017.11	80	2.82345
DAnjou_Chr10v0.1_26069.1	624	465.176	168	12.9643
DAnjou_Chr10v0.1_26068.1	624	465.176	39	3.00957
DAnjou_Chr10v0.1_26067.1	582	423.218	15	1.27229
DAnjou_Chr10v0.1_26066.1	312	159.812	4.02013	0.902999
DAnjou_Chr10v0.1_26065.1	1032	873.107	0	0
DAnjou_Chr10v0.1_26064.1	1362	1203.11	1	0.0298368
DAnjou_Chr10v0.1_26063.1	1272	1113.11	2	0.0644986
DAnjou_Chr10v0.1_26062.1	1575	1416.11	153.551	3.89238
DAnjou_Chr12v0.1_31320.1	2649	2490.11	1504.65	21.6907
DAnjou_Chr12v0.1_31319.1	816	657.107	33	1.80275
DAnjou_Chr12v0.1_31318.1	597	438.197	0	0
DAnjou_Chr12v0.1_31317.1	483	324.791	2.36258	0.26112
DAnjou_Chr12v0.1_31314.1	3320	3161.11	255.086	2.89671
DAnjou_Chr10v0.1_26053.1	1249	1090.11	241.708	7.95937
DAnjou_Chr10v0.1_26054.1	506	347.598	16	1.65234
DAnjou_Chr10v0.1_26057.1	1153	994.107	296.165	10.6944
DAnjou_Chr10v0.1_26056.1	1488	1329.11	430.75	11.6338
DAnjou_Chr10v0.1_26055.1	312	159.812	95.9154	21.5444
DAnjou_Chr12v0.1_31316.1	402	245.383	11.9799	1.75253
DAnjou_Chr12v0.1_31315.1	804	645.107	1	0.0556449
DAnjou_Chr12v0.1_31337.1	3549	3390.11	32.6882	0.346126
DAnjou_Chr12v0.1_31313.1	768	609.107	0	0
DAnjou_Chr10v0.1_26061.1	2238	2079.11	467.871	8.07804
DAnjou_Chr10v0.1_26060.1	1929	1770.11	33.0407	0.670049
DAnjou_Chr10v0.1_26059.1	1326	1167.11	51	1.56862
DAnjou_Chr10v0.1_26058.1	789	630.107	0	0
DAnjou_Chr10v0.1_26052.1	1320	1161.11	20	0.618322
DAnjou_Chr10v0.1_26051.1	393	236.594	0	0
DAnjou_Chr10v0.1_26050.1	492	333.665	3	0.322752
DAnjou_Chr10v0.1_26049.1	1137	978.107	90	3.30303
DAnjou_Chr10v0.1_26047.1	1372	1213.11	0	0
DAnjou_Chr10v0.1_26046.1	867	708.107	39	1.97707
DAnjou_Chr10v0.1_26045.1	1575	1416.11	31	0.785819
DAnjou_Chr10v0.1_26044.1	1278	1119.11	71.7854	2.30262
DAnjou_Chr10v0.1_26043.1	965	806.107	6.21458	0.276743
DAnjou_Chr10v0.1_26042.1	1152	993.107	60	2.16876
DAnjou_Chr10v0.1_26041.1	1374	1215.11	93	2.74742
DAnjou_Chr7v0.1_16724.1	1267	1108.11	0	0
DAnjou_Chr10v0.1_26040.1	735	576.107	489.53	30.5023
DAnjou_Chr10v0.1_26039.1	393	236.594	76.3452	11.5834
DAnjou_Chr10v0.1_26038.1	2436	2277.11	977.236	15.4054
DAnjou_Chr10v0.1_26037.1	699	540.107	1546	102.751
DAnjou_Chr10v0.1_26036.1	1869	1710.11	6	0.125946
DAnjou_Chr10v0.1_26035.1	399	242.501	1662.82	246.144
DAnjou_Chr10v0.1_26034.1	903	744.107	262	12.6393
DAnjou_Chr10v0.1_26033.1	1020	861.107	3004	125.228
DAnjou_Chr10v0.1_26032.1	849	690.107	18.8136	0.978615
DAnjou_Chr10v0.1_26031.1	1713	1554.11	939	21.6891
DAnjou_Chr10v0.1_26029.1	1857	1698.11	1160.54	24.533
DAnjou_Chr10v0.1_26028.1	3813	3654.11	835.658	8.20926
DAnjou_Chr10v0.1_26027.1	1521	1362.11	10	0.26354
DAnjou_Chr10v0.1_26025.1	351	196.48	17	3.10591
DAnjou_Chr10v0.1_26026.1	1704	1545.11	3107	72.1838
DAnjou_Chr10v0.1_26024.1	690	531.107	0	0
DAnjou_Chr10v0.1_26014.1	423	265.821	9	1.21537
DAnjou_Chr10v0.1_26022.1	401	244.406	3	0.440622
DAnjou_Chr10v0.1_26013.1	486	327.712	0	0
DAnjou_Chr10v0.1_26020.1	1449	1290.11	130.493	3.63093
DAnjou_Chr10v0.1_26011.1	648	489.107	2437	178.858
DAnjou_Chr10v0.1_26018.1	1149	990.107	102	3.69807
DAnjou_Chr10v0.1_26009.1	582	423.218	16	1.3571
DAnjou_Chr10v0.1_26016.1	1710	1551.11	894.053	20.6909
DAnjou_Chr10v0.1_26015.1	1158	999.107	21.9473	0.788544
DAnjou_Chr10v0.1_26007.1	241	97.1938	2	0.738667
DAnjou_Chr10v0.1_26006.1	1701	1542.11	22.5569	0.525075
DAnjou_Chr10v0.1_26005.1	1707	1548.11	0	0
DAnjou_Chr10v0.1_26004.1	5427	5268.11	173	1.17882
DAnjou_Chr10v0.1_26003.1	1881	1722.11	52.7607	1.09978
DAnjou_Chr10v0.1_25998.1	2888	2729.11	153.603	2.0204
DAnjou_Chr10v0.1_25997.1	1797	1638.11	16	0.350618
DAnjou_Chr10v0.1_25996.1	1674	1515.11	9	0.213234
DAnjou_Chr10v0.1_25988.1	570	411.218	0	0
DAnjou_Chr10v0.1_25986.1	3459	3300.11	83	0.902832
DAnjou_Chr10v0.1_25985.1	681	522.107	56	3.85022
DAnjou_Chr10v0.1_25984.1	369	213.488	0	0
DAnjou_Chr10v0.1_25983.1	339	185.082	11	2.13347
DAnjou_Chr10v0.1_25982.1	840	681.107	896	47.2226
DAnjou_Chr10v0.1_25981.1	912	753.107	786.767	37.5013
DAnjou_Chr10v0.1_25980.1	810	651.107	229.631	12.66
DAnjou_Chr10v0.1_25979.1	630	471.176	22	1.67609
DAnjou_Chr10v0.1_25978.1	1179	1020.11	2.07302	0.0729483
DAnjou_Chr10v0.1_25977.1	2972	2813.11	21	0.267972
DAnjou_Chr10v0.1_25976.1	2133	1974.11	50.927	0.92605
DAnjou_Chr10v0.1_25975.1	2082	1923.11	143	2.66925
