target_id	gene_id
DAnjou_Chr12v0.1_31316.1	DAnjou_Chr12v0.1_31316
DAnjou_Chr12v0.1_31315.1	DAnjou_Chr12v0.1_31315
DAnjou_Chr12v0.1_31337.1	DAnjou_Chr12v0.1_31337
DAnjou_Chr12v0.1_31313.1	DAnjou_Chr12v0.1_31313
DAnjou_Chr10v0.1_26061.1	DAnjou_Chr10v0.1_26061
DAnjou_Chr10v0.1_26060.1	DAnjou_Chr10v0.1_26060
DAnjou_Chr10v0.1_26059.1	DAnjou_Chr10v0.1_26059
DAnjou_Chr10v0.1_26058.1	DAnjou_Chr10v0.1_26058
DAnjou_Chr10v0.1_26052.1	DAnjou_Chr10v0.1_26052
DAnjou_Chr10v0.1_26051.1	DAnjou_Chr10v0.1_26051
DAnjou_Chr10v0.1_26050.1	DAnjou_Chr10v0.1_26050
DAnjou_Chr10v0.1_26049.1	DAnjou_Chr10v0.1_26049
DAnjou_Chr10v0.1_26047.1	DAnjou_Chr10v0.1_26047
DAnjou_Chr10v0.1_26046.1	DAnjou_Chr10v0.1_26046
DAnjou_Chr10v0.1_26045.1	DAnjou_Chr10v0.1_26045
DAnjou_Chr10v0.1_26044.1	DAnjou_Chr10v0.1_26044
DAnjou_Chr10v0.1_26043.1	DAnjou_Chr10v0.1_26043
DAnjou_Chr10v0.1_26042.1	DAnjou_Chr10v0.1_26042
DAnjou_Chr10v0.1_26041.1	DAnjou_Chr10v0.1_26041
DAnjou_Chr7v0.1_16724.1	DAnjou_Chr7v0.1_16724
DAnjou_Chr10v0.1_26040.1	DAnjou_Chr10v0.1_26040
DAnjou_Chr10v0.1_26039.1	DAnjou_Chr10v0.1_26039
DAnjou_Chr10v0.1_26038.1	DAnjou_Chr10v0.1_26038
DAnjou_Chr10v0.1_26037.1	DAnjou_Chr10v0.1_26037
DAnjou_Chr10v0.1_26036.1	DAnjou_Chr10v0.1_26036
DAnjou_Chr10v0.1_26035.1	DAnjou_Chr10v0.1_26035
DAnjou_Chr10v0.1_26034.1	DAnjou_Chr10v0.1_26034
DAnjou_Chr10v0.1_26033.1	DAnjou_Chr10v0.1_26033
DAnjou_Chr10v0.1_26032.1	DAnjou_Chr10v0.1_26032
DAnjou_Chr10v0.1_26031.1	DAnjou_Chr10v0.1_26031
DAnjou_Chr10v0.1_26029.1	DAnjou_Chr10v0.1_26029
DAnjou_Chr10v0.1_26028.1	DAnjou_Chr10v0.1_26028
DAnjou_Chr10v0.1_26027.1	DAnjou_Chr10v0.1_26027
DAnjou_Chr10v0.1_26025.1	DAnjou_Chr10v0.1_26025
DAnjou_Chr10v0.1_26026.1	DAnjou_Chr10v0.1_26026
DAnjou_Chr10v0.1_26024.1	DAnjou_Chr10v0.1_26024
DAnjou_Chr10v0.1_26014.1	DAnjou_Chr10v0.1_26014
DAnjou_Chr10v0.1_26022.1	DAnjou_Chr10v0.1_26022
DAnjou_Chr10v0.1_26013.1	DAnjou_Chr10v0.1_26013
DAnjou_Chr10v0.1_26020.1	DAnjou_Chr10v0.1_26020
DAnjou_Chr10v0.1_26011.1	DAnjou_Chr10v0.1_26011
DAnjou_Chr10v0.1_26018.1	DAnjou_Chr10v0.1_26018
DAnjou_Chr10v0.1_26009.1	DAnjou_Chr10v0.1_26009
DAnjou_Chr10v0.1_26016.1	DAnjou_Chr10v0.1_26016
DAnjou_Chr10v0.1_26015.1	DAnjou_Chr10v0.1_26015
DAnjou_Chr10v0.1_26007.1	DAnjou_Chr10v0.1_26007
DAnjou_Chr10v0.1_26006.1	DAnjou_Chr10v0.1_26006
DAnjou_Chr10v0.1_26005.1	DAnjou_Chr10v0.1_26005
DAnjou_Chr10v0.1_26004.1	DAnjou_Chr10v0.1_26004
DAnjou_Chr10v0.1_26003.1	DAnjou_Chr10v0.1_26003
DAnjou_Chr10v0.1_25998.1	DAnjou_Chr10v0.1_25998
DAnjou_Chr10v0.1_25997.1	DAnjou_Chr10v0.1_25997
DAnjou_Chr10v0.1_25996.1	DAnjou_Chr10v0.1_25996
DAnjou_Chr10v0.1_25988.1	DAnjou_Chr10v0.1_25988
DAnjou_Chr10v0.1_25986.1	DAnjou_Chr10v0.1_25986
DAnjou_Chr10v0.1_25985.1	DAnjou_Chr10v0.1_25985
DAnjou_Chr10v0.1_25984.1	DAnjou_Chr10v0.1_25984
DAnjou_Chr10v0.1_25983.1	DAnjou_Chr10v0.1_25983
DAnjou_Chr10v0.1_25982.1	DAnjou_Chr10v0.1_25982
DAnjou_Chr10v0.1_25981.1	DAnjou_Chr10v0.1_25981
DAnjou_Chr10v0.1_25980.1	DAnjou_Chr10v0.1_25980
DAnjou_Chr10v0.1_25979.1	DAnjou_Chr10v0.1_25979
DAnjou_Chr10v0.1_25978.1	DAnjou_Chr10v0.1_25978
DAnjou_Chr10v0.1_25977.1	DAnjou_Chr10v0.1_25977
